"participant","scenario","epistemic_condition","hadto","probablity","morality","normality"
275,"scenario 10","knowledge","41","65","36","72"
280,"scenario 10","knowledge","96","66","83","66"
287,"scenario 10","knowledge","0","0","0","0"
293,"scenario 10","knowledge","85","89","89","89"
294,"scenario 10","knowledge","35","34","92","50"
299,"scenario 10","knowledge","15","15","14","17"
300,"scenario 10","knowledge","26","11","20","8"
301,"scenario 10","knowledge","0","0","0","0"
310,"scenario 10","knowledge","0","0","0","0"
318,"scenario 10","knowledge","33","82","100","71"
321,"scenario 10","knowledge","2","0","3","0"
329,"scenario 10","knowledge","100","100","100","100"
336,"scenario 10","knowledge","0","0","0","0"
338,"scenario 10","knowledge","99","77","96","90"
340,"scenario 10","knowledge","53","56","61","45"
341,"scenario 10","knowledge","100","100","100","100"
345,"scenario 10","knowledge","92","81","71","91"
347,"scenario 10","knowledge","0","18","0","2"
357,"scenario 10","knowledge","0","76","0","76"
360,"scenario 10","knowledge","100","93","52","92"
362,"scenario 10","knowledge","2","8","1","0"
370,"scenario 10","knowledge","0","0","0","0"
372,"scenario 10","knowledge","100","80","100","100"
375,"scenario 10","knowledge","81","81","80","81"
377,"scenario 10","knowledge","52","71","71","65"
379,"scenario 10","knowledge","0","0","0","0"
381,"scenario 10","knowledge","0","41","13","34"
383,"scenario 10","knowledge","0","0","19","0"
384,"scenario 10","knowledge","29","80","62","91"
389,"scenario 10","knowledge","0","3","1","2"
393,"scenario 10","knowledge","0","2","1","0"
398,"scenario 10","knowledge","14","11","14","27"
400,"scenario 10","knowledge","29","31","31","31"
2,"scenario 10","ignorance","0","18","0","20"
6,"scenario 10","ignorance","2","2","3","1"
13,"scenario 10","ignorance","0","8","9","1"
14,"scenario 10","ignorance","50","50","26","26"
18,"scenario 10","ignorance","9","0","51","0"
25,"scenario 10","ignorance","0","0","0","0"
26,"scenario 10","ignorance","0","65","3","51"
32,"scenario 10","ignorance","25","39","3","58"
35,"scenario 10","ignorance","0","0","0","0"
37,"scenario 10","ignorance","35","60","64","62"
44,"scenario 10","ignorance","0","0","0","0"
46,"scenario 10","ignorance","71","91","100","100"
50,"scenario 10","ignorance","19","9","7","7"
59,"scenario 10","ignorance","0","0","0","0"
61,"scenario 10","ignorance","50","17","95","62"
65,"scenario 10","ignorance","72","70","79","72"
67,"scenario 10","ignorance","42","100","99","100"
74,"scenario 10","ignorance","0","10","6","8"
78,"scenario 10","ignorance","50","19","50","18"
80,"scenario 10","ignorance","0","0","5","0"
86,"scenario 10","ignorance","49","59","44","57"
87,"scenario 10","ignorance","36","51","33","82"
93,"scenario 10","ignorance","56","59","100","52"
98,"scenario 10","ignorance","0","0","0","0"
100,"scenario 10","ignorance","2","2","2","2"
103,"scenario 10","ignorance","0","0","0","0"
109,"scenario 10","ignorance","62","81","98","97"
111,"scenario 10","ignorance","3","4","80","5"
113,"scenario 10","ignorance","40","100","100","100"
114,"scenario 10","ignorance","84","75","76","80"
117,"scenario 10","ignorance","9","36","32","35"
118,"scenario 10","ignorance","17","6","16","11"
119,"scenario 10","ignorance","0","0","0","0"
121,"scenario 10","ignorance","38","11","73","3"
131,"scenario 10","ignorance","0","84","18","100"
135,"scenario 10","ignorance","0","50","0","50"
139,"scenario 10","ignorance","0","0","0","0"
144,"scenario 10","ignorance","19","51","9","74"
146,"scenario 10","ignorance","95","95","99","81"
147,"scenario 10","ignorance","8","20","20","1"
150,"scenario 10","ignorance","100","100","100","100"
161,"scenario 10","ignorance","0","2","1","0"
168,"scenario 10","ignorance","9","61","70","93"
174,"scenario 10","ignorance","49","40","2","9"
181,"scenario 10","ignorance","92","70","92","85"
188,"scenario 10","ignorance","61","51","52","45"
196,"scenario 10","ignorance","100","2","2","1"
200,"scenario 10","ignorance","0","95","0","78"
202,"scenario 10","ignorance","87","87","100","100"
209,"scenario 10","ignorance","18","69","88","83"
213,"scenario 10","ignorance","66","41","74","54"
217,"scenario 10","ignorance","94","79","98","87"
222,"scenario 10","ignorance","92","87","83","84"
223,"scenario 10","ignorance","0","0","0","0"
226,"scenario 10","ignorance","2","20","5","6"
228,"scenario 10","ignorance","6","68","28","51"
232,"scenario 10","ignorance","9","71","6","68"
235,"scenario 10","ignorance","2","10","49","1"
236,"scenario 10","ignorance","0","100","51","99"
238,"scenario 10","ignorance","9","2","0","0"
245,"scenario 10","ignorance","100","99","90","100"
250,"scenario 10","ignorance","0","0","0","0"
251,"scenario 10","ignorance","0","0","0","0"
258,"scenario 10","ignorance","100","99","94","49"
263,"scenario 10","ignorance","40","71","18","52"
268,"scenario 10","ignorance","81","25","90","28"
273,"scenario 10","ignorance","100","50","100","77"
274,"scenario 10","ignorance","58","58","83","74"
277,"scenario 10","ignorance","2","9","7","8"
278,"scenario 10","ignorance","0","0","1","1"
283,"scenario 10","ignorance","0","72","0","30"
285,"scenario 10","ignorance","8","7","6","9"
289,"scenario 10","ignorance","8","7","3","4"
297,"scenario 10","ignorance","94","72","72","75"
298,"scenario 10","ignorance","6","52","18","4"
303,"scenario 10","ignorance","8","3","100","52"
304,"scenario 10","ignorance","0","2","0","0"
308,"scenario 10","ignorance","21","9","23","28"
312,"scenario 10","ignorance","55","71","53","75"
314,"scenario 10","ignorance","0","0","0","0"
320,"scenario 10","ignorance","2","2","1","2"
323,"scenario 10","ignorance","81","100","100","100"
326,"scenario 10","ignorance","18","0","0","0"
332,"scenario 10","ignorance","38","51","100","92"
333,"scenario 10","ignorance","0","29","29","19"
335,"scenario 10","ignorance","0","0","46","0"
337,"scenario 10","ignorance","100","0","0","0"
351,"scenario 10","ignorance","100","85","100","100"
352,"scenario 10","ignorance","0","86","0","30"
354,"scenario 10","ignorance","100","100","100","100"
356,"scenario 10","ignorance","83","90","100","96"
359,"scenario 10","ignorance","95","100","100","100"
365,"scenario 10","ignorance","1","65","3","56"
366,"scenario 10","ignorance","76","78","90","92"
374,"scenario 10","ignorance","72","100","100","100"
376,"scenario 10","ignorance","0","4","0","0"
387,"scenario 10","ignorance","0","0","0","0"
388,"scenario 10","ignorance","4","10","3","50"
390,"scenario 10","ignorance","64","63","67","70"
394,"scenario 10","ignorance","0","64","100","88"
401,"scenario 10","ignorance","19","71","100","71"
3,"scenario 11","knowledge","43","69","82","65"
8,"scenario 11","knowledge","8","7","100","50"
11,"scenario 11","knowledge","100","100","100","100"
16,"scenario 11","knowledge","97","95","100","100"
23,"scenario 11","knowledge","0","0","0","0"
25,"scenario 11","knowledge","81","90","91","86"
33,"scenario 11","knowledge","100","86","100","100"
36,"scenario 11","knowledge","87","88","88","88"
37,"scenario 11","knowledge","12","25","31","24"
38,"scenario 11","knowledge","3","50","40","40"
41,"scenario 11","knowledge","0","0","0","0"
45,"scenario 11","knowledge","93","70","100","69"
51,"scenario 11","knowledge","100","100","100","100"
59,"scenario 11","knowledge","97","90","100","100"
60,"scenario 11","knowledge","94","83","100","86"
61,"scenario 11","knowledge","93","70","92","92"
64,"scenario 11","knowledge","67","73","56","84"
66,"scenario 11","knowledge","9","50","56","34"
74,"scenario 11","knowledge","9","8","40","7"
75,"scenario 11","knowledge","96","95","94","94"
77,"scenario 11","knowledge","71","82","95","4"
79,"scenario 11","knowledge","100","100","100","100"
84,"scenario 11","knowledge","100","100","100","100"
88,"scenario 11","knowledge","83","64","90","53"
94,"scenario 11","knowledge","0","0","0","0"
101,"scenario 11","knowledge","100","93","100","100"
113,"scenario 11","knowledge","97","83","100","96"
116,"scenario 11","knowledge","13","8","14","10"
120,"scenario 11","knowledge","80","49","96","70"
122,"scenario 11","knowledge","51","80","100","88"
128,"scenario 11","knowledge","82","84","85","87"
132,"scenario 11","knowledge","0","6","0","0"
139,"scenario 11","knowledge","56","0","0","0"
141,"scenario 11","knowledge","100","75","100","100"
144,"scenario 11","knowledge","100","100","100","100"
147,"scenario 11","knowledge","100","100","100","100"
151,"scenario 11","knowledge","50","92","100","71"
152,"scenario 11","knowledge","69","72","81","75"
153,"scenario 11","knowledge","0","0","0","0"
155,"scenario 11","knowledge","87","79","100","95"
157,"scenario 11","knowledge","2","60","92","41"
160,"scenario 11","knowledge","100","82","93","76"
161,"scenario 11","knowledge","0","95","100","100"
172,"scenario 11","knowledge","62","88","100","66"
173,"scenario 11","knowledge","100","100","100","100"
174,"scenario 11","knowledge","100","100","100","100"
176,"scenario 11","knowledge","53","46","56","68"
181,"scenario 11","knowledge","100","100","100","100"
191,"scenario 11","knowledge","0","13","45","18"
192,"scenario 11","knowledge","56","52","52","54"
193,"scenario 11","knowledge","63","66","71","70"
195,"scenario 11","knowledge","0","0","0","0"
196,"scenario 11","knowledge","100","93","100","100"
203,"scenario 11","knowledge","0","5","1","0"
206,"scenario 11","knowledge","92","80","97","95"
211,"scenario 11","knowledge","88","74","89","74"
214,"scenario 11","knowledge","100","100","100","83"
228,"scenario 11","knowledge","0","0","0","0"
232,"scenario 11","knowledge","99","100","100","92"
234,"scenario 11","knowledge","100","100","100","100"
235,"scenario 11","knowledge","0","1","0","0"
237,"scenario 11","knowledge","0","81","84","59"
241,"scenario 11","knowledge","28","1","2","1"
246,"scenario 11","knowledge","100","98","100","94"
251,"scenario 11","knowledge","100","100","100","100"
254,"scenario 11","knowledge","100","100","100","100"
260,"scenario 11","knowledge","19","3","2","2"
261,"scenario 11","knowledge","27","39","86","60"
263,"scenario 11","knowledge","100","100","100","100"
264,"scenario 11","knowledge","100","100","100","100"
269,"scenario 11","knowledge","100","100","100","100"
275,"scenario 11","knowledge","93","82","100","95"
277,"scenario 11","knowledge","1","80","8","82"
279,"scenario 11","knowledge","59","43","60","57"
286,"scenario 11","knowledge","100","81","100","100"
291,"scenario 11","knowledge","100","100","100","100"
299,"scenario 11","knowledge","83","64","77","85"
303,"scenario 11","knowledge","100","96","100","96"
307,"scenario 11","knowledge","84","90","93","90"
313,"scenario 11","knowledge","27","20","12","11"
317,"scenario 11","knowledge","100","92","100","100"
318,"scenario 11","knowledge","94","35","57","27"
326,"scenario 11","knowledge","0","50","50","50"
330,"scenario 11","knowledge","100","100","100","100"
331,"scenario 11","knowledge","100","100","100","100"
332,"scenario 11","knowledge","98","92","100","100"
334,"scenario 11","knowledge","0","0","9","0"
340,"scenario 11","knowledge","61","49","43","17"
341,"scenario 11","knowledge","100","100","100","100"
361,"scenario 11","knowledge","59","78","98","88"
365,"scenario 11","knowledge","100","76","100","78"
368,"scenario 11","knowledge","100","100","100","100"
369,"scenario 11","knowledge","75","78","97","93"
376,"scenario 11","knowledge","71","60","100","73"
381,"scenario 11","knowledge","0","3","0","0"
385,"scenario 11","knowledge","100","91","100","100"
389,"scenario 11","knowledge","40","61","39","19"
390,"scenario 11","knowledge","74","72","81","66"
392,"scenario 11","knowledge","100","100","100","100"
396,"scenario 11","knowledge","0","0","0","0"
397,"scenario 11","knowledge","81","90","100","100"
2,"scenario 11","ignorance","94","95","100","97"
6,"scenario 11","ignorance","100","100","100","100"
7,"scenario 11","ignorance","50","49","49","49"
12,"scenario 11","ignorance","81","65","35","76"
14,"scenario 11","ignorance","100","99","99","99"
19,"scenario 11","ignorance","99","96","100","99"
21,"scenario 11","ignorance","8","60","22","58"
26,"scenario 11","ignorance","100","100","100","100"
28,"scenario 11","ignorance","63","61","100","72"
29,"scenario 11","ignorance","74","95","100","91"
42,"scenario 11","ignorance","88","94","100","97"
43,"scenario 11","ignorance","100","93","100","100"
48,"scenario 11","ignorance","100","98","100","100"
50,"scenario 11","ignorance","0","0","0","0"
55,"scenario 11","ignorance","100","100","100","100"
56,"scenario 11","ignorance","5","2","1","0"
62,"scenario 11","ignorance","0","27","87","40"
63,"scenario 11","ignorance","92","94","96","94"
68,"scenario 11","ignorance","97","100","100","100"
76,"scenario 11","ignorance","81","76","100","100"
78,"scenario 11","ignorance","53","76","100","86"
80,"scenario 11","ignorance","64","73","89","90"
82,"scenario 11","ignorance","100","100","100","100"
91,"scenario 11","ignorance","100","100","100","99"
96,"scenario 11","ignorance","75","62","82","63"
98,"scenario 11","ignorance","12","0","0","0"
99,"scenario 11","ignorance","78","36","55","23"
105,"scenario 11","ignorance","2","3","100","1"
107,"scenario 11","ignorance","100","51","100","100"
112,"scenario 11","ignorance","92","60","94","94"
117,"scenario 11","ignorance","95","85","97","94"
124,"scenario 11","ignorance","100","100","100","100"
125,"scenario 11","ignorance","72","100","100","100"
129,"scenario 11","ignorance","100","95","100","100"
134,"scenario 11","ignorance","100","86","100","93"
135,"scenario 11","ignorance","100","100","100","100"
137,"scenario 11","ignorance","54","49","56","39"
140,"scenario 11","ignorance","30","9","6","1"
145,"scenario 11","ignorance","82","100","100","100"
150,"scenario 11","ignorance","0","0","0","0"
156,"scenario 11","ignorance","0","0","0","0"
159,"scenario 11","ignorance","92","58","83","90"
165,"scenario 11","ignorance","93","92","100","86"
166,"scenario 11","ignorance","2","3","2","2"
169,"scenario 11","ignorance","81","68","22","48"
170,"scenario 11","ignorance","100","100","100","100"
171,"scenario 11","ignorance","98","96","100","97"
177,"scenario 11","ignorance","72","100","100","100"
182,"scenario 11","ignorance","100","100","100","100"
189,"scenario 11","ignorance","87","87","95","94"
199,"scenario 11","ignorance","100","91","100","95"
200,"scenario 11","ignorance","100","100","100","100"
201,"scenario 11","ignorance","43","32","58","37"
210,"scenario 11","ignorance","82","62","82","73"
213,"scenario 11","ignorance","30","19","39","40"
218,"scenario 11","ignorance","86","99","100","100"
219,"scenario 11","ignorance","0","9","0","0"
227,"scenario 11","ignorance","100","100","100","100"
229,"scenario 11","ignorance","80","99","100","100"
233,"scenario 11","ignorance","19","19","48","17"
236,"scenario 11","ignorance","100","100","100","100"
238,"scenario 11","ignorance","100","84","100","100"
242,"scenario 11","ignorance","100","100","100","100"
245,"scenario 11","ignorance","100","100","100","100"
248,"scenario 11","ignorance","1","0","0","8"
255,"scenario 11","ignorance","0","8","14","6"
258,"scenario 11","ignorance","100","100","100","49"
267,"scenario 11","ignorance","100","99","100","100"
268,"scenario 11","ignorance","0","7","100","13"
274,"scenario 11","ignorance","61","77","93","82"
276,"scenario 11","ignorance","100","100","100","100"
278,"scenario 11","ignorance","21","17","73","48"
281,"scenario 11","ignorance","50","62","61","63"
282,"scenario 11","ignorance","19","24","87","51"
289,"scenario 11","ignorance","25","61","66","50"
293,"scenario 11","ignorance","94","80","93","95"
296,"scenario 11","ignorance","26","70","69","72"
298,"scenario 11","ignorance","93","94","94","94"
310,"scenario 11","ignorance","100","100","100","100"
315,"scenario 11","ignorance","27","50","18","18"
316,"scenario 11","ignorance","93","90","93","93"
319,"scenario 11","ignorance","93","81","100","100"
322,"scenario 11","ignorance","100","86","100","88"
323,"scenario 11","ignorance","0","0","0","0"
325,"scenario 11","ignorance","100","100","100","77"
327,"scenario 11","ignorance","84","71","79","84"
338,"scenario 11","ignorance","82","81","89","96"
346,"scenario 11","ignorance","52","82","97","94"
351,"scenario 11","ignorance","11","63","100","54"
354,"scenario 11","ignorance","0","0","0","0"
355,"scenario 11","ignorance","70","49","93","91"
363,"scenario 11","ignorance","100","92","100","100"
370,"scenario 11","ignorance","43","58","83","68"
371,"scenario 11","ignorance","100","100","100","100"
372,"scenario 11","ignorance","100","100","100","100"
377,"scenario 11","ignorance","67","53","66","80"
380,"scenario 11","ignorance","64","72","92","86"
383,"scenario 11","ignorance","0","0","0","0"
391,"scenario 11","ignorance","61","54","54","100"
393,"scenario 11","ignorance","100","63","100","100"
394,"scenario 11","ignorance","0","50","88","49"
395,"scenario 11","ignorance","44","36","44","41"
1,"scenario 12","knowledge","71","83","76","81"
7,"scenario 12","knowledge","40","40","39","38"
15,"scenario 12","knowledge","0","33","10","7"
17,"scenario 12","knowledge","18","11","74","31"
19,"scenario 12","knowledge","17","49","69","49"
20,"scenario 12","knowledge","83","83","100","95"
36,"scenario 12","knowledge","28","29","22","23"
38,"scenario 12","knowledge","0","3","0","0"
39,"scenario 12","knowledge","10","10","21","8"
40,"scenario 12","knowledge","14","21","29","22"
44,"scenario 12","knowledge","0","0","0","0"
45,"scenario 12","knowledge","19","10","50","42"
50,"scenario 12","knowledge","22","25","11","30"
55,"scenario 12","knowledge","0","0","0","0"
56,"scenario 12","knowledge","0","6","2","1"
59,"scenario 12","knowledge","5","8","12","8"
65,"scenario 12","knowledge","7","4","4","1"
71,"scenario 12","knowledge","0","1","3","2"
74,"scenario 12","knowledge","2","2","24","0"
87,"scenario 12","knowledge","84","44","61","36"
89,"scenario 12","knowledge","0","2","29","18"
92,"scenario 12","knowledge","8","30","20","21"
95,"scenario 12","knowledge","15","53","70","57"
101,"scenario 12","knowledge","0","31","57","47"
104,"scenario 12","knowledge","25","31","36","14"
106,"scenario 12","knowledge","9","8","0","0"
108,"scenario 12","knowledge","17","33","14","37"
112,"scenario 12","knowledge","29","18","0","18"
113,"scenario 12","knowledge","0","7","16","8"
116,"scenario 12","knowledge","8","9","9","6"
119,"scenario 12","knowledge","50","40","50","0"
121,"scenario 12","knowledge","55","44","60","34"
124,"scenario 12","knowledge","91","61","69","83"
126,"scenario 12","knowledge","6","2","1","0"
129,"scenario 12","knowledge","100","59","92","53"
135,"scenario 12","knowledge","0","8","0","0"
137,"scenario 12","knowledge","6","5","10","6"
138,"scenario 12","knowledge","0","9","7","7"
139,"scenario 12","knowledge","2","0","0","0"
154,"scenario 12","knowledge","36","46","53","21"
166,"scenario 12","knowledge","84","100","100","100"
171,"scenario 12","knowledge","0","7","14","2"
174,"scenario 12","knowledge","19","74","100","100"
176,"scenario 12","knowledge","62","22","30","48"
178,"scenario 12","knowledge","76","50","78","50"
182,"scenario 12","knowledge","0","12","22","0"
184,"scenario 12","knowledge","28","69","53","72"
191,"scenario 12","knowledge","0","0","0","0"
200,"scenario 12","knowledge","97","100","95","0"
201,"scenario 12","knowledge","25","47","24","39"
203,"scenario 12","knowledge","0","19","39","12"
206,"scenario 12","knowledge","9","18","41","20"
207,"scenario 12","knowledge","57","55","41","45"
212,"scenario 12","knowledge","19","70","19","8"
215,"scenario 12","knowledge","14","7","100","29"
223,"scenario 12","knowledge","0","0","0","0"
227,"scenario 12","knowledge","5","9","43","10"
228,"scenario 12","knowledge","61","67","51","55"
233,"scenario 12","knowledge","0","0","0","0"
236,"scenario 12","knowledge","82","100","100","100"
237,"scenario 12","knowledge","0","18","14","26"
241,"scenario 12","knowledge","0","50","15","15"
243,"scenario 12","knowledge","36","14","24","3"
247,"scenario 12","knowledge","68","23","49","40"
248,"scenario 12","knowledge","51","72","75","74"
253,"scenario 12","knowledge","60","60","93","79"
256,"scenario 12","knowledge","100","72","84","73"
259,"scenario 12","knowledge","41","55","91","63"
276,"scenario 12","knowledge","100","50","100","100"
281,"scenario 12","knowledge","0","0","29","0"
282,"scenario 12","knowledge","2","5","3","8"
284,"scenario 12","knowledge","0","0","0","0"
287,"scenario 12","knowledge","49","33","76","48"
291,"scenario 12","knowledge","8","9","3","6"
295,"scenario 12","knowledge","100","85","79","89"
297,"scenario 12","knowledge","49","38","57","43"
309,"scenario 12","knowledge","75","100","100","100"
311,"scenario 12","knowledge","0","0","0","0"
314,"scenario 12","knowledge","70","71","69","71"
319,"scenario 12","knowledge","19","49","83","90"
320,"scenario 12","knowledge","2","2","50","3"
324,"scenario 12","knowledge","32","58","50","51"
325,"scenario 12","knowledge","23","5","66","0"
327,"scenario 12","knowledge","29","30","46","67"
332,"scenario 12","knowledge","17","42","79","57"
347,"scenario 12","knowledge","19","30","21","22"
348,"scenario 12","knowledge","0","19","7","8"
349,"scenario 12","knowledge","0","29","100","50"
352,"scenario 12","knowledge","0","6","0","0"
357,"scenario 12","knowledge","0","19","19","50"
362,"scenario 12","knowledge","70","50","91","38"
365,"scenario 12","knowledge","74","64","100","86"
373,"scenario 12","knowledge","11","18","18","17"
374,"scenario 12","knowledge","0","0","0","0"
377,"scenario 12","knowledge","64","64","64","75"
379,"scenario 12","knowledge","0","30","21","0"
389,"scenario 12","knowledge","99","100","98","100"
391,"scenario 12","knowledge","54","39","33","30"
392,"scenario 12","knowledge","5","8","8","7"
399,"scenario 12","knowledge","100","96","93","0"
3,"scenario 12","ignorance","11","24","54","39"
9,"scenario 12","ignorance","5","20","28","19"
10,"scenario 12","ignorance","0","7","2","4"
13,"scenario 12","ignorance","0","9","0","0"
18,"scenario 12","ignorance","100","60","52","0"
24,"scenario 12","ignorance","8","61","76","34"
27,"scenario 12","ignorance","45","69","39","47"
28,"scenario 12","ignorance","34","50","62","50"
29,"scenario 12","ignorance","10","50","6","17"
37,"scenario 12","ignorance","19","12","9","13"
41,"scenario 12","ignorance","0","9","0","0"
42,"scenario 12","ignorance","6","57","65","47"
49,"scenario 12","ignorance","0","0","100","0"
53,"scenario 12","ignorance","0","10","19","0"
62,"scenario 12","ignorance","73","65","100","100"
63,"scenario 12","ignorance","24","18","70","36"
64,"scenario 12","ignorance","54","64","93","76"
66,"scenario 12","ignorance","12","50","23","55"
73,"scenario 12","ignorance","40","10","2","18"
75,"scenario 12","ignorance","69","79","73","79"
82,"scenario 12","ignorance","0","0","0","0"
83,"scenario 12","ignorance","50","71","57","60"
84,"scenario 12","ignorance","0","16","0","0"
91,"scenario 12","ignorance","99","100","100","86"
93,"scenario 12","ignorance","13","24","17","10"
94,"scenario 12","ignorance","41","54","77","67"
97,"scenario 12","ignorance","15","65","35","35"
99,"scenario 12","ignorance","77","53","62","42"
102,"scenario 12","ignorance","45","29","60","8"
110,"scenario 12","ignorance","0","9","10","12"
123,"scenario 12","ignorance","81","81","14","8"
125,"scenario 12","ignorance","70","71","88","53"
131,"scenario 12","ignorance","5","82","100","100"
136,"scenario 12","ignorance","58","51","52","51"
140,"scenario 12","ignorance","9","28","51","13"
143,"scenario 12","ignorance","19","19","49","8"
146,"scenario 12","ignorance","2","0","23","3"
149,"scenario 12","ignorance","30","40","19","20"
150,"scenario 12","ignorance","41","100","100","100"
155,"scenario 12","ignorance","6","5","33","3"
156,"scenario 12","ignorance","0","0","0","0"
157,"scenario 12","ignorance","18","61","72","27"
164,"scenario 12","ignorance","0","0","0","0"
167,"scenario 12","ignorance","60","55","97","87"
168,"scenario 12","ignorance","0","13","51","61"
169,"scenario 12","ignorance","84","75","21","60"
173,"scenario 12","ignorance","0","0","0","0"
179,"scenario 12","ignorance","11","23","15","10"
189,"scenario 12","ignorance","4","91","97","96"
194,"scenario 12","ignorance","0","0","0","0"
197,"scenario 12","ignorance","41","61","69","67"
202,"scenario 12","ignorance","0","0","29","0"
205,"scenario 12","ignorance","50","54","100","100"
209,"scenario 12","ignorance","10","11","0","0"
214,"scenario 12","ignorance","30","9","83","3"
216,"scenario 12","ignorance","74","63","75","74"
222,"scenario 12","ignorance","10","7","49","51"
224,"scenario 12","ignorance","41","49","39","50"
231,"scenario 12","ignorance","0","6","9","7"
232,"scenario 12","ignorance","83","74","63","74"
234,"scenario 12","ignorance","9","9","100","22"
235,"scenario 12","ignorance","12","76","77","17"
239,"scenario 12","ignorance","8","68","91","79"
240,"scenario 12","ignorance","0","31","16","5"
246,"scenario 12","ignorance","98","65","72","54"
251,"scenario 12","ignorance","5","4","4","5"
257,"scenario 12","ignorance","41","71","100","73"
260,"scenario 12","ignorance","53","71","76","76"
262,"scenario 12","ignorance","53","76","100","89"
266,"scenario 12","ignorance","42","27","19","21"
270,"scenario 12","ignorance","0","0","0","0"
271,"scenario 12","ignorance","12","0","100","0"
274,"scenario 12","ignorance","2","92","100","100"
283,"scenario 12","ignorance","0","50","0","0"
292,"scenario 12","ignorance","81","82","100","100"
296,"scenario 12","ignorance","23","22","20","23"
301,"scenario 12","ignorance","0","71","45","34"
302,"scenario 12","ignorance","0","12","30","10"
304,"scenario 12","ignorance","4","92","22","15"
305,"scenario 12","ignorance","0","0","10","11"
306,"scenario 12","ignorance","4","72","71","60"
308,"scenario 12","ignorance","0","34","14","37"
317,"scenario 12","ignorance","91","72","93","81"
322,"scenario 12","ignorance","0","44","0","57"
328,"scenario 12","ignorance","20","90","54","72"
330,"scenario 12","ignorance","0","14","1","0"
336,"scenario 12","ignorance","9","81","6","49"
351,"scenario 12","ignorance","0","0","50","0"
354,"scenario 12","ignorance","22","17","50","22"
355,"scenario 12","ignorance","0","18","10","11"
356,"scenario 12","ignorance","80","79","100","83"
358,"scenario 12","ignorance","45","9","81","7"
367,"scenario 12","ignorance","82","73","83","85"
369,"scenario 12","ignorance","42","40","58","51"
371,"scenario 12","ignorance","0","0","0","0"
378,"scenario 12","ignorance","0","9","0","0"
381,"scenario 12","ignorance","0","9","18","0"
385,"scenario 12","ignorance","13","49","13","5"
390,"scenario 12","ignorance","57","64","80","70"
395,"scenario 12","ignorance","48","52","51","50"
396,"scenario 12","ignorance","0","0","0","0"
398,"scenario 12","ignorance","89","56","85","100"
4,"scenario 13","knowledge","0","31","100","41"
6,"scenario 13","knowledge","19","51","62","53"
8,"scenario 13","knowledge","0","83","52","52"
14,"scenario 13","knowledge","9","29","12","12"
18,"scenario 13","knowledge","50","34","0","15"
25,"scenario 13","knowledge","8","7","49","7"
29,"scenario 13","knowledge","8","50","40","18"
30,"scenario 13","knowledge","0","49","100","87"
38,"scenario 13","knowledge","0","0","0","0"
41,"scenario 13","knowledge","40","20","0","14"
42,"scenario 13","knowledge","61","65","71","63"
48,"scenario 13","knowledge","1","49","1","9"
52,"scenario 13","knowledge","1","2","3","2"
57,"scenario 13","knowledge","0","8","0","0"
61,"scenario 13","knowledge","12","26","20","17"
65,"scenario 13","knowledge","1","0","1","0"
75,"scenario 13","knowledge","70","89","84","92"
76,"scenario 13","knowledge","0","0","0","0"
82,"scenario 13","knowledge","0","0","0","0"
88,"scenario 13","knowledge","29","39","39","22"
89,"scenario 13","knowledge","0","0","0","0"
92,"scenario 13","knowledge","19","50","72","72"
93,"scenario 13","knowledge","0","0","0","0"
94,"scenario 13","knowledge","0","0","0","0"
99,"scenario 13","knowledge","67","46","71","42"
101,"scenario 13","knowledge","0","0","61","7"
106,"scenario 13","knowledge","0","0","0","0"
109,"scenario 13","knowledge","0","0","0","0"
111,"scenario 13","knowledge","49","49","70","51"
113,"scenario 13","knowledge","0","3","0","0"
116,"scenario 13","knowledge","0","0","0","0"
123,"scenario 13","knowledge","0","61","0","0"
131,"scenario 13","knowledge","0","62","48","72"
134,"scenario 13","knowledge","2","1","0","1"
138,"scenario 13","knowledge","0","9","50","0"
142,"scenario 13","knowledge","19","59","100","64"
149,"scenario 13","knowledge","0","0","30","0"
150,"scenario 13","knowledge","0","0","0","0"
169,"scenario 13","knowledge","69","84","19","68"
175,"scenario 13","knowledge","22","51","67","35"
178,"scenario 13","knowledge","1","1","1","1"
183,"scenario 13","knowledge","0","63","53","31"
184,"scenario 13","knowledge","72","87","82","88"
186,"scenario 13","knowledge","89","85","86","91"
189,"scenario 13","knowledge","0","52","81","57"
193,"scenario 13","knowledge","39","31","67","18"
197,"scenario 13","knowledge","0","0","0","0"
200,"scenario 13","knowledge","100","100","100","96"
202,"scenario 13","knowledge","0","0","0","0"
203,"scenario 13","knowledge","0","0","0","0"
204,"scenario 13","knowledge","0","10","0","0"
208,"scenario 13","knowledge","30","71","82","75"
212,"scenario 13","knowledge","13","97","82","68"
217,"scenario 13","knowledge","1","0","1","0"
220,"scenario 13","knowledge","100","40","0","0"
223,"scenario 13","knowledge","0","0","0","0"
225,"scenario 13","knowledge","100","100","100","100"
237,"scenario 13","knowledge","0","18","0","0"
240,"scenario 13","knowledge","0","0","17","0"
242,"scenario 13","knowledge","8","7","6","6"
247,"scenario 13","knowledge","67","36","51","46"
249,"scenario 13","knowledge","22","21","12","17"
255,"scenario 13","knowledge","0","0","0","0"
256,"scenario 13","knowledge","60","81","54","51"
262,"scenario 13","knowledge","0","40","23","0"
264,"scenario 13","knowledge","9","29","0","10"
267,"scenario 13","knowledge","41","61","52","52"
268,"scenario 13","knowledge","0","0","0","0"
